learner_id,gender,age_group,state_of_origin,state_of_residence,education_level,employment_status,device_access,primary_device,prior_tech_experience,monthly_income_band,registration_source,region_of_origin,region_of_residence,internet_quality
LRN0000045,Female,25-34,Akwa Ibom,Oyo,Graduate,Employed,No,Laptop,Intermediate,100k-250k,Campus Outreach,South South,South West,Poor
LRN0000046,Male,18-24,Ondo,Imo,Graduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South West,South East,Moderate
LRN0000047,Female,18-24,Lagos,Rivers,Undergraduate,Self-Employed,Yes,Laptop,Intermediate,100k-250k,Referral,South West,South South,Good
LRN0000048,Female,25-34,Lagos,Kano,OND/ND,Student,Yes,Laptop,Beginner,250k+,Social Media,South West,North West,Good
LRN0000049,Male,25-34,Oyo,Oyo,Graduate,Unemployed,Yes,Mobile Phone,Advanced,<50k,Campus Outreach,South West,South West,Moderate
LRN0000050,Female,18-24,Lagos,Kaduna,Postgraduate,Unemployed,Yes,Laptop,Beginner,<50k,Partner Organisation,South West,North West,Poor
LRN0000051,Female,25-34,Enugu,Kaduna,Graduate,Unemployed,Yes,Laptop,Beginner,<50k,Referral,South East,North West,Poor
LRN0000052,Female,18-24,Lagos,Bayelsa,Graduate,Employed,Yes,Mobile Phone,Intermediate,100k-250k,Social Media,South West,South South,Moderate
LRN0000053,Female,25-34,Benue,Anambra,Secondary School,Employed,Yes,Laptop,Intermediate,<50k,Email Campaign,North Central,South East,Moderate
LRN0000054,Female,25-34,Katsina,Oyo,Graduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Referral,North West,South West,Good
LRN0000055,Female,25-34,FCT,FCT,Undergraduate,Unemployed,Yes,Desktop,Beginner,50k-100k,Social Media,North Central,North Central,Good
LRN0000056,Male,18-24,Kano,Kaduna,Graduate,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Campus Outreach,North West,North West,Poor
LRN0000057,Male,18-24,Kano,Oyo,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Referral,North West,South West,Good
LRN0000058,Male,18-24,Oyo,Kogi,Undergraduate,Employed,Yes,Laptop,Beginner,<50k,Email Campaign,South West,North Central,Moderate
LRN0000059,Male,18-24,Lagos,Kano,Undergraduate,Student,Yes,Laptop,Beginner,<50k,Community Outreach,South West,North West,Moderate
LRN0000060,Male,18-24,Yobe,Ogun,Undergraduate,Employed,No,Mobile Phone,Beginner,<50k,Referral,North East,South West,Good
LRN0000061,Male,18-24,Akwa Ibom,Ondo,Secondary School,Employed,Yes,Mobile Phone,Beginner,<50k,Referral,South South,South West,Moderate
LRN0000062,Female,25-34,Lagos,Osun,OND/ND,Employed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South West,South West,Good
LRN0000063,Male,18-24,Ogun,Ondo,OND/ND,Student,Yes,Laptop,Beginner,50k-100k,Referral,South West,South West,Moderate
LRN0000064,Male,25-34,Plateau,Osun,Graduate,Student,Yes,Mobile Phone,Beginner,<50k,Partner Organisation,North Central,South West,Moderate
LRN0000065,Female,18-24,Osun,Jigawa,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,50k-100k,Email Campaign,South West,North West,Good
LRN0000066,Male,35-44,Anambra,Kaduna,OND/ND,Unemployed,Yes,Laptop,Advanced,<50k,Email Campaign,South East,North West,Poor
LRN0000067,Female,35-44,Kano,Ondo,OND/ND,Student,Yes,Laptop,Intermediate,100k-250k,Referral,North West,South West,Good
LRN0000068,Male,18-24,Bauchi,Borno,Undergraduate,Student,Yes,Mobile Phone,Intermediate,100k-250k,Referral,North East,North East,Moderate
LRN0000069,Female,35-44,Lagos,Lagos,Undergraduate,Student,Yes,Laptop,Beginner,<50k,Social Media,South West,South West,Moderate
LRN0000070,Female,25-34,Anambra,Katsina,Undergraduate,Self-Employed,Yes,Laptop,Intermediate,50k-100k,Social Media,South East,North West,Poor
LRN0000071,Male,18-24,Yobe,Abia,Graduate,Unemployed,Yes,Mobile Phone,Advanced,100k-250k,Email Campaign,North East,South East,Poor
LRN0000072,Male,35-44,Oyo,Abia,Postgraduate,Employed,Yes,Laptop,Intermediate,<50k,Social Media,South West,South East,Moderate
LRN0000073,Female,18-24,Oyo,Ebonyi,Graduate,Employed,Yes,Laptop,Beginner,250k+,Partner Organisation,South West,South East,Moderate
LRN0000074,Female,18-24,Lagos,Anambra,Postgraduate,Student,Yes,Laptop,Beginner,50k-100k,Community Outreach,South West,South East,Good
LRN0000075,Female,25-34,Imo,Adamawa,Undergraduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South East,North East,Moderate
LRN0000076,Female,18-24,Edo,Kano,Undergraduate,Employed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South South,North West,Moderate
LRN0000077,Male,18-24,Katsina,Anambra,OND/ND,Unemployed,Yes,Mobile Phone,Beginner,<50k,Email Campaign,North West,South East,Moderate
LRN0000078,Male,35-44,Kaduna,Plateau,Secondary School,Unemployed,No,Mobile Phone,Beginner,<50k,Social Media,North West,North Central,Good
LRN0000079,Male,35-44,Kaduna,Niger,Secondary School,Student,Yes,Mobile Phone,Beginner,<50k,Referral,North West,North Central,Moderate
LRN0000080,Female,25-34,Imo,FCT,Undergraduate,Employed,No,Mobile Phone,Advanced,50k-100k,Referral,South East,North Central,Good
LRN0000081,Female,18-24,Yobe,Kaduna,Undergraduate,Employed,Yes,Laptop,Advanced,<50k,Email Campaign,North East,North West,Moderate
LRN0000082,Male,35-44,Abia,Lagos,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Campus Outreach,South East,South West,Good
LRN0000083,Male,18-24,Lagos,Kogi,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Social Media,South West,North Central,Moderate
LRN0000084,Male,35-44,Delta,FCT,Undergraduate,Unemployed,Yes,Laptop,Advanced,50k-100k,Community Outreach,South South,North Central,Moderate
LRN0000085,Male,18-24,FCT,Borno,Graduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,North Central,North East,Moderate
LRN0000086,Female,25-34,Kano,Oyo,Graduate,Student,Yes,Mobile Phone,Beginner,<50k,Email Campaign,North West,South West,Good
LRN0000087,Female,25-34,Kano,Bauchi,Undergraduate,Employed,Yes,Mobile Phone,Beginner,100k-250k,Email Campaign,North West,North East,Moderate
LRN0000088,Female,35-44,Borno,Bauchi,OND/ND,Employed,Yes,Mobile Phone,Intermediate,50k-100k,Referral,North East,North East,Poor
LRN0000089,Male,25-34,Enugu,Anambra,Graduate,Unemployed,Yes,Mobile Phone,Intermediate,100k-250k,Referral,South East,South East,Moderate
LRN0000090,Male,25-34,Lagos,Lagos,OND/ND,Student,Yes,Mobile Phone,Beginner,<50k,Social Media,South West,South West,Moderate
LRN0000091,Female,25-34,Yobe,Kano,Undergraduate,Self-Employed,Yes,Desktop,Intermediate,100k-250k,Referral,North East,North West,Moderate
LRN0000092,Female,25-34,Anambra,Kano,OND/ND,Student,Yes,Laptop,Beginner,<50k,Referral,South East,North West,Moderate
LRN0000093,Female,25-34,Lagos,Abia,Undergraduate,Unemployed,Yes,Laptop,Advanced,50k-100k,Referral,South West,South East,Moderate
LRN0000094,Female,18-24,Ebonyi,Delta,Undergraduate,Unemployed,Yes,Laptop,Beginner,100k-250k,Social Media,South East,South South,Poor
LRN0000095,Male,25-34,Kaduna,Lagos,Graduate,Employed,Yes,Mobile Phone,Advanced,<50k,Partner Organisation,North West,South West,Moderate
LRN0000096,Female,18-24,Kaduna,Kaduna,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Referral,North West,North West,Poor
LRN0000097,Male,25-34,Bauchi,Delta,Graduate,Student,Yes,Laptop,Beginner,<50k,Social Media,North East,South South,Moderate
LRN0000098,Male,18-24,Delta,Lagos,Graduate,Employed,No,Laptop,Intermediate,50k-100k,Referral,South South,South West,Good
LRN0000099,Male,35-44,Lagos,Osun,Graduate,Self-Employed,No,Laptop,Intermediate,50k-100k,Community Outreach,South West,South West,Poor
LRN0000100,Male,18-24,Kogi,FCT,Graduate,Employed,Yes,Desktop,Intermediate,50k-100k,Email Campaign,North Central,North Central,Good
LRN0000101,Female,18-24,Osun,FCT,OND/ND,Employed,Yes,Laptop,Beginner,<50k,Campus Outreach,South West,North Central,Poor
LRN0000102,Male,35-44,Jigawa,Jigawa,Graduate,Student,Yes,Mobile Phone,Intermediate,50k-100k,Referral,North West,North West,Moderate
LRN0000103,Male,18-24,Osun,Lagos,Secondary School,Student,Yes,Desktop,Beginner,50k-100k,Referral,South West,South West,Moderate
LRN0000104,Female,18-24,FCT,Oyo,Graduate,Unemployed,Yes,Desktop,Advanced,50k-100k,Campus Outreach,North Central,South West,Good
LRN0000105,Male,25-34,Kogi,Ondo,OND/ND,Student,Yes,Laptop,Advanced,50k-100k,Referral,North Central,South West,Good
LRN0000106,Male,18-24,Oyo,Taraba,Graduate,Self-Employed,Yes,Laptop,Beginner,100k-250k,Partner Organisation,South West,North East,Moderate
LRN0000107,Female,18-24,Oyo,Rivers,Graduate,Unemployed,No,Laptop,Beginner,100k-250k,Social Media,South West,South South,Moderate
LRN0000108,Male,25-34,Borno,Adamawa,Undergraduate,Student,Yes,Laptop,Intermediate,50k-100k,Email Campaign,North East,North East,Poor
LRN0000109,Male,35-44,Jigawa,Kano,Postgraduate,Student,Yes,Tablet,Intermediate,50k-100k,Social Media,North West,North West,Moderate
LRN0000110,Male,18-24,Lagos,Lagos,Secondary School,Self-Employed,Yes,Mobile Phone,Intermediate,250k+,Partner Organisation,South West,South West,Good
LRN0000111,Male,18-24,Ogun,Anambra,OND/ND,Student,No,Mobile Phone,Beginner,50k-100k,Partner Organisation,South West,South East,Moderate
LRN0000112,Female,18-24,Bayelsa,Benue,OND/ND,Student,Yes,Tablet,Beginner,<50k,Social Media,South South,North Central,Moderate
LRN0000113,Female,18-24,Plateau,Lagos,Secondary School,Employed,Yes,Mobile Phone,Intermediate,<50k,Community Outreach,North Central,South West,Good
LRN0000114,Female,18-24,Ogun,Kaduna,OND/ND,Unemployed,No,Mobile Phone,Intermediate,50k-100k,Campus Outreach,South West,North West,Poor
LRN0000115,Female,18-24,Sokoto,Delta,Graduate,Employed,Yes,Mobile Phone,Intermediate,<50k,Partner Organisation,North West,South South,Moderate
LRN0000116,Female,25-34,Lagos,Osun,Graduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Community Outreach,South West,South West,Poor
LRN0000117,Male,25-34,Anambra,Abia,Graduate,Employed,Yes,Mobile Phone,Beginner,<50k,Partner Organisation,South East,South East,Good
LRN0000118,Female,18-24,Sokoto,FCT,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,100k-250k,Social Media,North West,North Central,Poor
LRN0000119,Female,18-24,Lagos,FCT,Undergraduate,Employed,No,Mobile Phone,Advanced,100k-250k,Campus Outreach,South West,North Central,Poor
LRN0000120,Female,25-34,Osun,Ogun,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Referral,South West,South West,Good
LRN0000121,Female,18-24,FCT,Edo,OND/ND,Student,Yes,Laptop,Beginner,<50k,Social Media,North Central,South South,Good
LRN0000122,Male,25-34,Ogun,Edo,Undergraduate,Unemployed,Yes,Laptop,Beginner,<50k,Campus Outreach,South West,South South,Good
LRN0000123,Male,18-24,Kano,FCT,Graduate,Employed,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,North Central,Good
LRN0000124,Male,18-24,Kano,Imo,Secondary School,Student,Yes,Mobile Phone,Beginner,50k-100k,Social Media,North West,South East,Moderate
LRN0000125,Male,18-24,Abia,Akwa Ibom,Secondary School,Student,Yes,Laptop,Beginner,100k-250k,Social Media,South East,South South,Good
LRN0000126,Female,18-24,Osun,FCT,Undergraduate,Employed,Yes,Laptop,Beginner,<50k,Referral,South West,North Central,Moderate
LRN0000127,Female,25-34,Enugu,Niger,Graduate,Unemployed,Yes,Laptop,Beginner,100k-250k,Campus Outreach,South East,North Central,Good
LRN0000128,Male,35-44,Kano,Delta,Undergraduate,Employed,Yes,Mobile Phone,Beginner,<50k,Referral,North West,South South,Good
LRN0000129,Male,18-24,Plateau,Taraba,Graduate,Student,Yes,Desktop,Beginner,50k-100k,Social Media,North Central,North East,Moderate
LRN0000130,Male,25-34,FCT,Abia,Postgraduate,Employed,Yes,Desktop,Beginner,<50k,Email Campaign,North Central,South East,Moderate
LRN0000131,Male,18-24,Kaduna,Lagos,Undergraduate,Employed,No,Laptop,Beginner,50k-100k,Email Campaign,North West,South West,Good
LRN0000132,Male,25-34,Ondo,Edo,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Referral,South West,South South,Moderate
LRN0000133,Male,25-34,Ondo,Ebonyi,Postgraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Referral,South West,South East,Moderate
LRN0000134,Female,18-24,FCT,FCT,Undergraduate,Self-Employed,Yes,Laptop,Advanced,100k-250k,Social Media,North Central,North Central,Good
LRN0000135,Male,18-24,Kano,Katsina,OND/ND,Unemployed,Yes,Tablet,Beginner,100k-250k,Community Outreach,North West,North West,Moderate
LRN0000136,Male,18-24,Edo,Osun,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South South,South West,Good
LRN0000137,Female,18-24,Bauchi,Enugu,Graduate,Student,Yes,Laptop,Beginner,50k-100k,Community Outreach,North East,South East,Good
LRN0000138,Male,25-34,Niger,Lagos,Secondary School,Student,No,Desktop,Advanced,100k-250k,Social Media,North Central,South West,Good
LRN0000139,Female,35-44,Kano,Plateau,Undergraduate,Self-Employed,Yes,Tablet,Intermediate,<50k,Social Media,North West,North Central,Poor
LRN0000140,Female,25-34,Akwa Ibom,Lagos,Postgraduate,Employed,Yes,Mobile Phone,Advanced,<50k,Social Media,South South,South West,Good
LRN0000141,Male,18-24,Delta,Rivers,Graduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Community Outreach,South South,South South,Moderate
LRN0000142,Male,18-24,Adamawa,Jigawa,OND/ND,Student,Yes,Mobile Phone,Intermediate,50k-100k,Referral,North East,North West,Poor
LRN0000143,Male,18-24,Enugu,Lagos,Undergraduate,Student,Yes,Laptop,Intermediate,100k-250k,Campus Outreach,South East,South West,Good
LRN0000144,Male,25-34,FCT,Sokoto,Undergraduate,Unemployed,Yes,Desktop,Advanced,50k-100k,Referral,North Central,North West,Poor
LRN0000145,Male,18-24,Adamawa,Kano,Graduate,Unemployed,Yes,Desktop,Beginner,50k-100k,Email Campaign,North East,North West,Moderate
LRN0000146,Female,18-24,Imo,Enugu,Graduate,Employed,Yes,Laptop,Beginner,<50k,Community Outreach,South East,South East,Poor
LRN0000147,Male,25-34,Kano,Oyo,OND/ND,Employed,Yes,Laptop,Beginner,50k-100k,Social Media,North West,South West,Poor
LRN0000148,Male,18-24,Lagos,Delta,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Social Media,South West,South South,Moderate
LRN0000149,Male,18-24,Kano,Osun,Undergraduate,Unemployed,Yes,Mobile Phone,Beginner,<50k,Partner Organisation,North West,South West,Poor
LRN0000150,Female,18-24,Ondo,Lagos,Undergraduate,Employed,Yes,Desktop,Intermediate,<50k,Social Media,South West,South West,Good
LRN0000151,Male,18-24,Kano,Edo,Undergraduate,Student,Yes,Laptop,Beginner,50k-100k,Social Media,North West,South South,Poor
LRN0000152,Male,18-24,Lagos,Niger,Undergraduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,South West,North Central,Good
LRN0000153,Male,18-24,Imo,Anambra,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Email Campaign,South East,South East,Moderate
LRN0000154,Female,18-24,Abia,Kaduna,Graduate,Student,Yes,Mobile Phone,Intermediate,<50k,Referral,South East,North West,Poor
LRN0000155,Male,18-24,Anambra,Adamawa,Graduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South East,North East,Moderate
LRN0000156,Female,18-24,Jigawa,Anambra,Secondary School,Student,Yes,Mobile Phone,Intermediate,<50k,Partner Organisation,North West,South East,Moderate
LRN0000157,Female,35-44,Jigawa,Kaduna,OND/ND,Student,Yes,Laptop,Beginner,50k-100k,Email Campaign,North West,North West,Moderate
LRN0000158,Male,18-24,Katsina,Lagos,OND/ND,Self-Employed,Yes,Mobile Phone,Intermediate,100k-250k,Referral,North West,South West,Moderate
LRN0000159,Female,18-24,Kano,Oyo,OND/ND,Unemployed,Yes,Mobile Phone,Beginner,50k-100k,Partner Organisation,North West,South West,Good
LRN0000160,Male,25-34,Kogi,Kaduna,OND/ND,Employed,Yes,Mobile Phone,Beginner,50k-100k,Community Outreach,North Central,North West,Poor
LRN0000161,Female,18-24,Kaduna,Lagos,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Community Outreach,North West,South West,Poor
LRN0000162,Female,25-34,Edo,Lagos,Secondary School,Student,Yes,Mobile Phone,Intermediate,250k+,Campus Outreach,South South,South West,Moderate
LRN0000163,Female,18-24,Lagos,Lagos,Secondary School,Unemployed,Yes,Mobile Phone,Beginner,<50k,Community Outreach,South West,South West,Good
LRN0000164,Male,35-44,Abia,Ondo,Undergraduate,Unemployed,Yes,Laptop,Intermediate,<50k,Social Media,South East,South West,Good
LRN0000165,Female,35-44,Ondo,Lagos,Undergraduate,Student,Yes,Desktop,Beginner,50k-100k,Community Outreach,South West,South West,Good
LRN0000166,Male,25-34,Akwa Ibom,Rivers,Graduate,Student,Yes,Desktop,Beginner,50k-100k,Social Media,South South,South South,Poor
LRN0000167,Male,25-34,Lagos,Sokoto,Postgraduate,Student,Yes,Laptop,Beginner,50k-100k,Campus Outreach,South West,North West,Poor
LRN0000168,Male,18-24,Kano,Enugu,Graduate,Employed,Yes,Laptop,Intermediate,<50k,Community Outreach,North West,South East,Good
LRN0000169,Female,35-44,Niger,Kano,Undergraduate,Student,Yes,Laptop,Intermediate,<50k,Referral,North Central,North West,Moderate
LRN0000170,Female,18-24,Delta,Jigawa,Graduate,Student,Yes,Mobile Phone,Intermediate,<50k,Referral,South South,North West,Poor
LRN0000171,Male,18-24,FCT,Delta,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Referral,North Central,South South,Moderate
LRN0000172,Male,18-24,Oyo,Niger,Postgraduate,Unemployed,Yes,Desktop,Intermediate,50k-100k,Social Media,South West,North Central,Good
LRN0000173,Male,18-24,Sokoto,Plateau,Graduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Referral,North West,North Central,Moderate
LRN0000174,Female,25-34,Lagos,Enugu,Graduate,Unemployed,Yes,Laptop,Intermediate,<50k,Social Media,South West,South East,Good
LRN0000175,Male,18-24,Rivers,FCT,Undergraduate,Student,Yes,Laptop,Intermediate,<50k,Referral,South South,North Central,Moderate
LRN0000176,Female,25-34,Edo,Edo,OND/ND,Student,Yes,Mobile Phone,Intermediate,50k-100k,Referral,South South,South South,Good
LRN0000177,Male,18-24,Ogun,Sokoto,Graduate,Self-Employed,Yes,Mobile Phone,Advanced,<50k,Email Campaign,South West,North West,Moderate
LRN0000178,Female,25-34,Osun,Bauchi,Graduate,Student,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South West,North East,Moderate
LRN0000179,Male,25-34,Katsina,Delta,Graduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Referral,North West,South South,Poor
LRN0000180,Male,25-34,Lagos,Kaduna,Undergraduate,Student,Yes,Mobile Phone,Beginner,50k-100k,Referral,South West,North West,Moderate
LRN0000181,Male,25-34,Borno,Edo,Graduate,Student,No,Mobile Phone,Beginner,<50k,Partner Organisation,North East,South South,Moderate
LRN0000182,Female,25-34,Jigawa,Imo,Undergraduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Social Media,North West,South East,Good
LRN0000183,Female,18-24,Edo,Ondo,OND/ND,Unemployed,Yes,Laptop,Beginner,<50k,Email Campaign,South South,South West,Poor
LRN0000184,Male,18-24,Kano,Enugu,Undergraduate,Unemployed,No,Mobile Phone,Beginner,50k-100k,Social Media,North West,South East,Moderate
LRN0000185,Female,25-34,Sokoto,Kano,Graduate,Unemployed,Yes,Mobile Phone,Advanced,50k-100k,Social Media,North West,North West,Good
LRN0000186,Female,25-34,Kaduna,Edo,Graduate,Student,Yes,Mobile Phone,Intermediate,100k-250k,Referral,North West,South South,Poor
LRN0000187,Female,18-24,Kano,Rivers,OND/ND,Unemployed,Yes,Mobile Phone,Beginner,<50k,Social Media,North West,South South,Good
LRN0000188,Female,18-24,Kogi,Delta,Secondary School,Unemployed,Yes,Laptop,Beginner,50k-100k,Referral,North Central,South South,Poor
LRN0000189,Male,18-24,Plateau,Delta,Secondary School,Employed,Yes,Mobile Phone,Beginner,<50k,Email Campaign,North Central,South South,Poor
LRN0000190,Male,18-24,Kogi,Ogun,Undergraduate,Employed,Yes,Mobile Phone,Beginner,100k-250k,Referral,North Central,South West,Good
LRN0000191,Female,35-44,Plateau,Kogi,OND/ND,Unemployed,Yes,Mobile Phone,Beginner,100k-250k,Community Outreach,North Central,North Central,Poor
LRN0000192,Female,18-24,Katsina,Bauchi,Undergraduate,Unemployed,Yes,Laptop,Beginner,<50k,Campus Outreach,North West,North East,Good
