programme_id,programme_name,programme_type,provider,start_date,end_date,duration_days,participants_target
PRG00199,LinkedIn Optimisation,Masterclass,Tech4Dev,2024-05-25,2024-05-29,4,2676
PRG00200,CV Writing,Masterclass,DataCamp Africa,2025-09-01,2025-09-05,4,3019
PRG00201,AI Engineering,Core Programme,Decagon,2024-05-07,2024-06-30,54,649
PRG00202,Mentor Introduction,Orientation,Ingressive,2025-02-16,2025-02-18,2,6732
PRG00203,Career Readiness,Masterclass,Tech4Dev,2025-03-24,2025-03-31,7,4545
PRG00204,Mentor Introduction,Orientation,AltSchool,2024-11-26,2024-11-27,1,4539
PRG00205,Freelancing,Masterclass,DataCamp Africa,2024-08-22,2024-08-25,3,1248
PRG00206,AI Engineering,Core Programme,TalentQL,2025-11-19,2026-01-03,45,983
PRG00207,Freelancing,Masterclass,Decagon,2024-06-28,2024-07-05,7,829
PRG00208,Career Readiness,Masterclass,AltSchool,2024-07-04,2024-07-10,6,2778
PRG00209,AI Productivity,Masterclass,Ingressive,2025-04-26,2025-05-02,6,1247
PRG00210,AI Productivity,Masterclass,Tech4Dev,2025-11-17,2025-11-22,5,3130
PRG00211,LinkedIn Optimisation,Masterclass,Decagon,2025-12-11,2025-12-16,5,3872
PRG00212,Cybersecurity,Core Programme,Tech4Dev,2025-07-17,2025-09-12,57,1033
PRG00213,Cloud Computing,Core Programme,Ingressive,2024-09-15,2024-11-01,47,522
PRG00214,Programme Orientation,Orientation,DataCamp Africa,2024-01-02,2024-01-04,2,5215
PRG00215,Mentor Introduction,Orientation,Utiva,2024-02-25,2024-02-27,2,4385
PRG00216,Product Design,Core Programme,DataCamp Africa,2025-05-25,2025-07-20,56,837
PRG00217,Cloud Computing,Core Programme,AltSchool,2024-09-30,2024-11-15,46,408
PRG00218,Web Development,Core Programme,Decagon,2025-12-16,2026-02-08,54,648
PRG00219,Programme Orientation,Orientation,TalentQL,2025-09-15,2025-09-16,1,6161
PRG00220,Web Development,Core Programme,Tech4Dev,2025-07-18,2025-09-06,50,518
PRG00221,Product Design,Core Programme,TalentQL,2024-08-18,2024-10-15,58,295
PRG00222,Programme Orientation,Orientation,TalentQL,2025-10-25,2025-10-27,2,1962
PRG00223,LinkedIn Optimisation,Masterclass,DataCamp Africa,2025-06-05,2025-06-11,6,2890
PRG00224,Platform Walkthrough,Orientation,Decagon,2025-05-09,2025-05-11,2,7838
PRG00225,LinkedIn Optimisation,Masterclass,Utiva,2025-01-27,2025-02-02,6,1684
PRG00226,Mentor Introduction,Orientation,TalentQL,2024-10-09,2024-10-10,1,1571
PRG00227,AI Productivity,Masterclass,TalentQL,2024-09-30,2024-10-05,5,4659
PRG00228,Data Analytics,Core Programme,TalentQL,2024-11-01,2024-12-25,54,943
PRG00229,Career Readiness,Masterclass,Decagon,2024-06-01,2024-06-08,7,4511
PRG00230,Career Readiness,Masterclass,AltSchool,2024-12-06,2024-12-12,6,3327
PRG00231,Mentor Introduction,Orientation,TalentQL,2024-11-25,2024-11-27,2,4730
PRG00232,Web Development,Core Programme,Utiva,2025-01-27,2025-03-20,52,785
PRG00233,AI Engineering,Core Programme,DataCamp Africa,2024-11-21,2025-01-18,58,244
PRG00234,Cloud Computing,Core Programme,TalentQL,2025-11-10,2026-01-06,57,595
PRG00235,AI Engineering,Core Programme,Utiva,2024-02-07,2024-03-27,49,707
PRG00236,Product Design,Core Programme,TalentQL,2024-04-12,2024-06-06,55,1090
PRG00237,Platform Walkthrough,Orientation,Tech4Dev,2025-04-12,2025-04-13,1,5308
PRG00238,Digital Marketing,Core Programme,Utiva,2025-11-01,2025-12-20,49,619
PRG00239,CV Writing,Masterclass,AltSchool,2024-12-12,2024-12-18,6,2671
PRG00240,Mentor Introduction,Orientation,TalentQL,2024-03-23,2024-03-25,2,6323
PRG00241,Cybersecurity,Core Programme,DataCamp Africa,2024-11-20,2025-01-16,57,1177
PRG00242,Digital Marketing,Core Programme,Tech4Dev,2025-07-08,2025-09-06,60,1093
PRG00243,Career Readiness,Masterclass,DataCamp Africa,2025-10-08,2025-10-11,3,2423
PRG00244,Cybersecurity,Core Programme,Decagon,2024-04-02,2024-05-24,52,964
PRG00245,Programme Orientation,Orientation,DataCamp Africa,2024-06-19,2024-06-20,1,4634
PRG00246,Freelancing,Masterclass,TalentQL,2024-11-28,2024-12-01,3,876
PRG00247,Data Analytics,Core Programme,Decagon,2025-01-18,2025-03-13,54,567
PRG00248,Programme Orientation,Orientation,AltSchool,2025-02-25,2025-02-26,1,5351
PRG00249,Remote Work Essentials,Masterclass,Tech4Dev,2024-06-28,2024-07-02,4,1892
PRG00250,Mentor Introduction,Orientation,Utiva,2025-11-30,2025-12-02,2,6076
PRG00251,AI Productivity,Masterclass,Decagon,2024-08-25,2024-09-01,7,1672
PRG00252,Digital Marketing,Core Programme,DataCamp Africa,2024-09-18,2024-11-10,53,670
PRG00253,CV Writing,Masterclass,AltSchool,2025-11-24,2025-11-30,6,2856
PRG00254,Programme Orientation,Orientation,AltSchool,2024-12-19,2024-12-20,1,4618
PRG00255,Cybersecurity,Core Programme,Decagon,2024-09-13,2024-11-10,58,906
PRG00256,Freelancing,Masterclass,Tech4Dev,2025-05-09,2025-05-13,4,3651
PRG00257,LinkedIn Optimisation,Masterclass,Ingressive,2025-08-11,2025-08-17,6,3440
PRG00258,Digital Marketing,Core Programme,Decagon,2025-11-05,2025-12-29,54,222
PRG00259,Freelancing,Masterclass,DataCamp Africa,2025-09-12,2025-09-15,3,901
PRG00260,AI Productivity,Masterclass,TalentQL,2025-09-13,2025-09-18,5,2385
PRG00261,Platform Walkthrough,Orientation,AltSchool,2024-07-13,2024-07-14,1,6215
PRG00262,Cybersecurity,Core Programme,DataCamp Africa,2024-04-09,2024-05-28,49,843
PRG00263,Remote Work Essentials,Masterclass,Tech4Dev,2025-03-27,2025-03-30,3,3030
PRG00264,Product Design,Core Programme,Tech4Dev,2024-05-14,2024-07-09,56,949
PRG00265,Freelancing,Masterclass,Utiva,2024-06-28,2024-07-03,5,3903
PRG00266,LinkedIn Optimisation,Masterclass,AltSchool,2025-06-27,2025-07-04,7,3497
PRG00267,Platform Walkthrough,Orientation,TalentQL,2025-05-08,2025-05-09,1,3105
PRG00268,Freelancing,Masterclass,Tech4Dev,2025-04-24,2025-04-29,5,1443
PRG00269,LinkedIn Optimisation,Masterclass,Ingressive,2025-07-24,2025-07-28,4,3755
PRG00270,CV Writing,Masterclass,AltSchool,2024-09-27,2024-10-03,6,614
PRG00271,Data Analytics,Core Programme,DataCamp Africa,2025-11-19,2026-01-17,59,577
PRG00272,Digital Marketing,Core Programme,TalentQL,2025-01-25,2025-03-19,53,798
PRG00273,Remote Work Essentials,Masterclass,Utiva,2025-11-22,2025-11-27,5,1387
PRG00274,Cloud Computing,Core Programme,Ingressive,2025-07-28,2025-09-11,45,834
PRG00275,Product Design,Core Programme,DataCamp Africa,2024-03-05,2024-04-26,52,863
PRG00276,AI Engineering,Core Programme,Ingressive,2025-12-18,2026-02-15,59,1131
PRG00277,Remote Work Essentials,Masterclass,Tech4Dev,2024-05-23,2024-05-29,6,1455
PRG00278,Programme Orientation,Orientation,Tech4Dev,2024-04-28,2024-04-30,2,5035
PRG00279,Web Development,Core Programme,Ingressive,2025-04-09,2025-05-28,49,597
PRG00280,Remote Work Essentials,Masterclass,DataCamp Africa,2025-08-24,2025-08-31,7,3933
PRG00281,Mentor Introduction,Orientation,Tech4Dev,2025-11-01,2025-11-02,1,4398
PRG00282,AI Productivity,Masterclass,Tech4Dev,2024-10-13,2024-10-20,7,3843
PRG00283,Remote Work Essentials,Masterclass,Decagon,2025-03-30,2025-04-04,5,2279
PRG00284,LinkedIn Optimisation,Masterclass,Ingressive,2025-12-03,2025-12-08,5,1313
PRG00285,Product Design,Core Programme,Ingressive,2025-02-11,2025-04-08,56,262
PRG00286,Programme Orientation,Orientation,Tech4Dev,2025-04-10,2025-04-11,1,7947
PRG00287,Remote Work Essentials,Masterclass,TalentQL,2024-02-21,2024-02-25,4,674
PRG00288,Platform Walkthrough,Orientation,Utiva,2025-08-01,2025-08-02,1,2031
PRG00289,Data Analytics,Core Programme,TalentQL,2024-08-09,2024-09-29,51,800
PRG00290,LinkedIn Optimisation,Masterclass,Tech4Dev,2025-09-02,2025-09-07,5,1708
PRG00291,Cybersecurity,Core Programme,Ingressive,2025-07-07,2025-08-25,49,333
PRG00292,Programme Orientation,Orientation,Utiva,2024-01-27,2024-01-28,1,6415
PRG00293,Data Analytics,Core Programme,AltSchool,2024-08-31,2024-10-26,56,1008
PRG00294,Cybersecurity,Core Programme,Tech4Dev,2024-09-28,2024-11-12,45,378
PRG00295,Programme Orientation,Orientation,DataCamp Africa,2024-04-26,2024-04-28,2,5309
PRG00296,CV Writing,Masterclass,AltSchool,2025-01-05,2025-01-11,6,4172
PRG00297,Career Readiness,Masterclass,Utiva,2025-05-30,2025-06-02,3,4202
PRG00298,Career Readiness,Masterclass,Decagon,2024-11-04,2024-11-07,3,4771
PRG00299,Remote Work Essentials,Masterclass,TalentQL,2025-05-05,2025-05-08,3,998
PRG00300,Cloud Computing,Core Programme,Decagon,2024-04-20,2024-06-17,58,902
PRG00301,Mentor Introduction,Orientation,Ingressive,2024-03-23,2024-03-25,2,1602
PRG00302,Product Design,Core Programme,Ingressive,2024-05-09,2024-06-27,49,267
PRG00303,Product Design,Core Programme,AltSchool,2025-09-03,2025-10-28,55,590
PRG00304,Cybersecurity,Core Programme,Decagon,2025-09-11,2025-11-09,59,717
PRG00305,CV Writing,Masterclass,Decagon,2025-03-16,2025-03-19,3,2261
PRG00306,Web Development,Core Programme,Decagon,2025-04-09,2025-06-06,58,547
PRG00307,Cloud Computing,Core Programme,Ingressive,2025-03-13,2025-04-30,48,520
PRG00308,Remote Work Essentials,Masterclass,DataCamp Africa,2024-06-05,2024-06-10,5,3566
PRG00309,AI Productivity,Masterclass,Tech4Dev,2024-03-28,2024-03-31,3,1247
PRG00310,AI Productivity,Masterclass,AltSchool,2024-05-13,2024-05-16,3,3552
PRG00311,CV Writing,Masterclass,Tech4Dev,2025-11-17,2025-11-24,7,3200
